,title,rating,price,no_of_ratings,product_url,product_description,Manufacturer,asin
10,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",4.1 out of 5 stars,498,"7,630",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Made of multi-coated 600D polyester Material ; Water Repellent    Dimension, 26cm x 38cm x 14cm (LxWxH); Weight , 200 grams; Capacity, 12liters    Small Size backpack; Laptop Compatibility, No    This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more    With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books    6 months limited warranty",Appario Retail Private Ltd,B07CJCGM1M
11,Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue),4.0 out of 5 stars,356,"4,396",https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M,"ERGONOMIC DESIGN, This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5.    WATER, DIRT & SLASH RESISTANT, This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored.    CRAFTED IN INDIA, Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey.    Outer Material Type, Nylon",Dein Kleider,B07CJCGM1M
12,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",4.0 out of 5 stars,349,"5,547",https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ,"Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo    Dimensions , LxWxH- 31 x 18 x 47 cms    Laptop , 15.6 inches and below (Bigger than 15.6 not recommended)    No. of Compartments , 3 with full padding    NOT INCLUDED , NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)",Appario Retail Private Ltd,B07CJCGM1M
13,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",3.8 out of 5 stars,499,628,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M,"Lightweight yet durable backpack/daypack for school use or everyday outings    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Lining Description, Polyester; Closure Type, Zipper; Age Range Description, Adult",RetailEZ Pvt Ltd,B07CJCGM1M
14,ADISA Laptop Backpack 31 Ltrs,4.2 out of 5 stars,599,7,https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B097NH6X4C,"☆DIMENSION,15x3.5x12inch/38x8x30cm(WxDxH).Weight,0.32kg/0.7lb. Front Pocket,12x9inch/30x23cm(WxH) Soft adjustable & breathable shoulder straps,8inch-20.8inch/20cm-53cm.    DESIGN, Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old.    PRODUCT MATERIAL, Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids.    USAGE, This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items.    GREAT GIFT, Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.",Vancouver Store,B07CJCGM1M
15,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,4.0 out of 5 stars,448,4,https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3,"DIMENSION, 15 X 3.5 X 12 Inches / 38 X 8 X 30 Cm (WxLxH) | Weight, 0.32 Kg/ 0.7 Lb | Front Pocket, 12 X 9 Inch / 30 X 23 Cm (WxH) | Soft Adjustable & Breathable Shoulder Straps, 8-20.8 Inch / 20-53 Cm.    DESIGN, Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old.    PRODUCT MATERIAL, Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids.    USAGE, This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items.    GREAT GIFT, Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.",Vancouver Store,B07CJCGM1M
16,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),3.9 out of 5 stars,1919,364,https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ,"Outer Material, Polyester, Color, Black;Water resistant    Capacity, 21 liters; Dimensions, 32 cms x 14 cms x 46 cms (LxWxH)    Number of compartments, 3; Laptop Compatibility, Yes, Laptop Size, 15 inches    Warranty type, Manufacturer; 1 year    Closure Type, Zipper; Age Range Description, Adult",RetailEZ Pvt Ltd,B07CJCGM1M
17,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm",4.1 out of 5 stars,1399,"6,803",https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC,"Medium Purses for Women, 32L x 13B x 30H cm. Short handle height, 25cm, This hobo bag comes with a long removable and adjustable shoulder strap, which can be used as a women shoulder bag or hobo cross-body bag.    Updated Women Handbags, High-quality Vegan leather, Reinforced shoulder strap and improved zipper quality, also improved lining polyester, all faux leather hobo bags have been done anti-shock&wear-resistant tests, good purses and handbags for women.    Package Include, 1 x Hand Bag, 1 x Cross Body Strap    Structure, Ladies hobo handbags has one main compartment,1 middle compartment, 1 zipper pocket and 2 slot pockets, with 1 back zipper pocket, enough capacity to organize your daily items, such as 9.7-inch iPad, book, umbrella, wallet, water bottle, iPhone and cosmetics, etc.    Classic Hobo Purse, Top zipper closure, with 2 side zipper pockets design and elegant tassels decoration, fashionable and practical handbags for women, perfect for shopping, dating, travel and business.    🚩 DISCLAIMER, 🚩 WE HIGHLY RECOMMEND TO CHECK THE PRODUCT SIZE CHART IN 2ND IMAGE BEFORE PURCHASE TO AVOID MISCONCEPTION REGARDING THE PRODUCT SIZE. PRODUCT COLOUR MAY SLIGHTLY VARY DUE TO PHOTOGRAPHIC LIGHTING SOURCES OR YOUR MONITOR SETTINGS.",Opus_Retail,B07CJCGM1M
18,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),4.3 out of 5 stars,1188,"4,877",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,"Outer Material, Polyester, Color, Black    Water Resistance, Water resistant    Capacity, 30 liters; Dimensions, 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments, 2    Laptop Compatibility, Yes, Laptop Size, 17, Strap Type, Adjustable,    Closure Type, Zipper; Pocket Description, Utility Pocket; Special Features, Laptop Compartment; Age Range Description, Adult; Style Name, Traditional Backpacks",RetailEZ Pvt Ltd,B07CJCGM1M
19,F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo),4.2 out of 5 stars,822,"2,869",https://www.amazon.in/F-Gear-Raider-Marpat-Navy-Backpack/dp/B07F1157TV,"Water Proof with attached Rain cover.    Air Mesh Padding at the Back panel and shoulder straps for utmost Comfort.    Three big compartments and one bottle holder    Dimensions (LxHxW) CM, 33 x 48 x 21 cm    Comes with the F Gear promise of Quality",RetailEZ Pvt Ltd,B07CJCGM1M
20,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,3.7 out of 5 stars,249,"5,922",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,"Outer Material, Polyester, Color, Black and Yellow.Ideal for 3-5 year old children.    Wear Resistant, Wear resistant, Stain resistant, Water Resistance, Water resistant; Dimensions, 49 cms x 33 cms x 10 cms (LxWxH)    Number of compartments, 1; Compatible Laptop Size , 15.4    Warranty Type, Manufacturer; 1 Year from the date of purchase    Pocket Description, Utility Pocket; Color Name, Black And Blue; Age Range Description, Adult; Closure Type, Zipper",RetailEZ Pvt Ltd,B07CJCGM1M
21,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,4.0 out of 5 stars,239,"1,983",https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV,"Strong stitching at major stress points provide long-lasting durability against daily activities    Mesh side water bottle pocket. Adjustable shoulder strap.    Main large compartment with double zip closure. Tough high durability fabric    High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes    Comes in attractive color combinations.",RetailEZ Pvt Ltd,B07CJCGM1M
22,F Gear Luxur Brown 25 liter Laptop Backpack (2404),4.4 out of 5 stars,1099,"16,290",https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA,"Capacity, 25 liters, Weight, 800 grams, Dimensions, 31 x 18 x 44 cm (L x W x H)",RetailEZ Pvt Ltd,B07CJCGM1M
23,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,4.1 out of 5 stars,798,911,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Laptop bag fits upto 17.3 inch laptop,Appario Retail Private Ltd,B07CJCGM1M
24,"LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",4.3 out of 5 stars,308,516,https://www.amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT,"HYGIENICALLY PRE-SEALED , LuvLap Breast Milk Storage Bags have been hygienically pre-sealed and are leak proof. Can store, freeze and protect precious breastmilk    DURABLE DOUBLE-LAYER MATERIAL , This breastmilk storage bags made of durable double-layer material and built-in double zipper seal. It is Presterilized, free of BPA    SELF-STANDING DESIGN , The bags are self-standing. Provides enough space to write the details on its surface, allowing you to document the date and information about storage    SAFE & CONVENIENT , The bags lay flat, saves space. Designed for your safe and instant usage    Resistant to low temperature and high temperature. It can withstand minus 20 degrees to high temperature 120 degrees",RK World Infocom Pvt Ltd,B07CJCGM1M
25,Wesley Ignite Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18.5 inches) (Compatible with 39.62cm(15.6inch laptop),3.8 out of 5 stars,599,4,https://www.amazon.in/Wesley-Waterproof-Backpack-Business-Dimensions/dp/B0BMQ4D59H,"Capacity design, Can hold laptops of 15.6 inches and below. A main spacious packing room, and there are multiple pockets, pen pockets and compartments for small items at the front to keep your items organized and easier to find. An anti-theft pocket located inside the bag keeps your passport, wallet, phone and other valuable items safe and handy    Durable & comfortable, This classic college backpack is made of water-resistant, sturdy and tear-resistant oxford material, with double metal zippers. Comfortable airflow back design with thick but soft multi-panel ventilated padding gives you maximum back support. Lightweight structure and ergonomically shaped shoulder straps with two ""S"" adjustable breathable padding make carrying easy and comfortable    Function& Safe, External dimensions, A luggage strap allows backpack fit on luggage/suitcase, slide over the luggage upright handle tube for easier carrying. Internal shockproof belt for fastening your laptop and iPad, preventing them from sliding and bumping. With a hidden anti theft pocket inside the bag protect your valuable items from thieves. Well made for international airplane travel and day trip    Ideal Gift, This fashionable laptop backpack can be a great companion for travel, business, everyday use and outdoor activities. Also, a perfect college high school student backpack for boys, girls, teens. Practical gifts for teens, boys, girls, friends, mother, father, her or him.",Appario Retail Private Ltd,B07CJCGM1M
26,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)",4.4 out of 5 stars,1599,373,https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T,Lightweight and comfortable to carry    All your everyday essentials at your fingertips    Dependable everyday companion,Appario Retail Private Ltd,B07CJCGM1M
27,Skybags Brat Sea Green 46 Cms Casual Backpack,4.1 out of 5 stars,669,871,https://www.amazon.in/Skybags-Brat-Green-Casual-Backpack/dp/B08Z21W4TG,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",RetailEZ Pvt Ltd,B07CJCGM1M
28,Red Lemon Swiss Cut Design Medium 26 L Laptop Backpack Outdoor Backpack fits 15.6 inch Multifunctional Laptop Bag Backpack for Men and Women with USB port Anti Theft Travel Backpack,4.4 out of 5 stars,1899,425,https://www.amazon.in/Red-Lemon-Backpack-Multifunctional-Charcoal/dp/B0BGSV19KZ,"PREMIUM MATERIAL, This multifunctional bag is made of quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, and durable.     LARGE CAPACITY , Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6 inch Laptop. Additional front zipper pockets with an organiser to store magazine, pens, key,music, cosmetic, pen, charger, powerbank, cable etc. Side pockets for water bottles,umbrella. Back hidden anti theft pocket can hold your wallet,phone,etc     TROLLEY STRAP & CONVENIENCE , The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on.     ONE YEAR WARRANTY, 1-year warranty on this bag against any manufacturing defects. Just keep your documents safe. Contact Red Lemon for any issues regarding the product and a resolution will be provided.; Lining texture, polyester     Pattern Name, Solid; Special Features, Laptop Compartment; Age Range Description, Adult",UniqueClick,B07CJCGM1M
29,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Black),4.2 out of 5 stars,529,"3,669",https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y,Highly water-resistant finish to save inner items from water splashes    Separate shoe pocket ensures your sneakers separated from your day outfit    adjustable shoulder strap    Main compartment with double zip closure    Large pocket for laundry or shoes & internal slip pockets for organization,RetailEZ Pvt Ltd,B07CJCGM1M
30,"ZANIC'S Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags (Pink)",4.4 out of 5 stars,749,26,https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BR123Z9J,"♥ Makeup bag Open flat for easy access, The flat makeup bag has a large opening design for quick access to items, making it a must-have bag for travel, not only it is durable but also exquisite workmanship;    ♥ Large capacity and Clear compartments, The cosmetic bag can hold many small items, such as various makeup brushes, lipsticks, small eye shadow trays, cosmetics, etc. There are 3 pockets and 2 compartments inside the cosmetic bag, which can be sorted and stored so that your Life is more orderly;    ♥ Waterproof and wipeable, The make up bag is not only waterproof on the outside, can be wiped quickly, and stain-resistant, but also the inside of the make up bag is waterproof, can be wiped quickly, and stain-resistant. If lotion is poured on it, just wipe it off with a paper towel. Keep your makeup bag clean and flawless forever;    ♥ Multifunctional storage bag, Our makeup organizer bag can be used as a cosmetic bag, a toiletry bag, a pencil bag, and a daily storage bag; it can be used by any people and can store various small items in all aspects;    ♥ Perfect gift ,Show your appreciation to your friend, wife, girlfriend, mother. This fashion portable bag is a thoughtful gift to women who are driven to looking good.It would be a great gift for women and girls,Mother's day /woman day/Birthday/Christmas Gift.",VOETEX ZONE®,B07CJCGM1M
31,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",4.4 out of 5 stars,664,810,https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8,"External Size (LxWxH), 250x150x200 mm, Internal Size (LxWxH), 230x110x180 mm    Accommodates all Entry Level & Mid Range Digital SLR Cameras with 18-55mm Lens attached + 55 to 250mm lens + Charger & cable , filter , Memory card and other accessories.Waterproof Rain Cover is included for Hustle-free outdoor activities.    back zipper pocket for keys, cards, chargers and other storage; Inner compartment zipper net bag for SD card box, filter cloth, or cleaning kit storage.Two side net pockets. Adjustable shoulder carrying strap.    Polyurethane coating super nylon Water shield Material. With inside detachable divider to adjust the inside space for camera, lens and accessories.    Package Includes, 1*waterproof Camera Case Bag 1*Shoulder Strap 1*Rain Cover 1*Spacer Pad",Appario Retail Private Ltd,B07CJCGM1M
32,Gear Polyester 74 Cms Duffle Bag(Dufcrstng0406_Grey),4.2 out of 5 stars,539,"15,916",https://www.amazon.in/Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6,"WR PU Coated Dobby Polyester. WR PU Coated 900D Oxford Polyester. Color, Grey    Water Resistance, Water resistant, Wheels included, No    Capacity, 22 liters; Dimensions, 38 cms x 24 cms x 24 cms (LxWxH)    Number of compartments, 1    Laptop Compatibility, No, Strap Type, Adjustable.    Warranty type, Manufacturer; 1 year manufacturer warranty is non-transferable. Valid for 1 year from the original date of purchase.",RetailEZ Pvt Ltd,B07CJCGM1M
33,F Gear String 11 Ltrs Nylon Black Gym Bag,4.0 out of 5 stars,189,415,https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,"Lightweight gym bags    Ergonomic Design    Durable    Size-(Hxlxw) Cm-(43x32x2) Cm,,Gym Bags    Drawstring closure",RetailEZ Pvt Ltd,B07CJCGM1M
34,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,4.4 out of 5 stars,1039,"5,328",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,"Outer material, synthetic, color, brown    Waterproof    Capacity, 20 liters; Weight, 560 grams; Dimensions, 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments, 2    Laptop compatibility, yes, laptop size, 16strap type, adjustable    Anti theft waterproof bag with anti sweat fabric on back and shoulder straps    USB and headphone cable slot",RetailEZ Pvt Ltd,B07CJCGM1M
35,Boldfit Waist Bag for Men Travel Bag for Men Chest Bag for Men Travel Fanny Pack for Men Waist Bag for Women Side Bag for Men Travel Accessories / Pouch / Hand Purse. Mobile Bag / Money Bag - Black,4.9 out of 5 stars,399,275,https://www.amazon.in/Boldfit-Travel-Accessories-Purse-Mobile/dp/B0BJZQ3ZR9,"CHEST BAG FOR MEN, Best Gifts for Women Men, Enjoy Various Activities and Festival Hands-Free. The Fanny Pack for women is perfect for most people carry the most needed items, include phone, passport, keys, ID and other small items.    LARGE CAPACITY & CONVENIENT, Our travel fanny packs is well constructed with 3 separate pockets, ideal to organize your essentials separately.    MUTI-FUNCTIONAL, Our waist pouch for men is lightweight comfortable waist bag perfect for shopping, travelling, festivals, at theme parks, Great for jogging, dog walking, cycling, hiking and other outdoor activities.    DURABLE MATERIAL, Waist bag for men made of best fabric, the fanny pack for men is sturdy and long-lasting usage. Our chest bag for women have smooth zippers ensure users to have quick access to the items.    ADJUSTABLE STRAP, Adjustable nylon strap fits for all waist size, making the bum bag ideal for men, women and teenagers. can be carried like a pouch bag for men, crossbody bag, shoulder bag or a small sling chest bag.",RetailEZ Pvt Ltd,B07CJCGM1M
